Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
SH12ABC3XY1,01/11/24 10:30 AM,SH12ABC3XY1 Confirmed. You have received Ksh500.00 from JOHN DOE 254712345678 on 01/11/24 at 10:30 AM,Completed,500.00,,5500.00
SH12ABC3XY2,01/11/24 2:15 PM,SH12ABC3XY2 Confirmed. Ksh1000.00 sent to JANE SMITH 254722222222 on 01/11/24 at 2:15 PM,Completed,,1000.00,4500.00
SH12ABC3XY3,01/11/24 3:00 PM,SH12ABC3XY3 Confirmed. Ksh50.00 paid to NAIVAS SUPERMARKET. Account Number 123456 on 01/11/24 at 3:00 PM,Completed,,50.00,4450.00
SH12ABC3XY4,02/11/24 9:00 AM,SH12ABC3XY4 Confirmed. Ksh200.00 paid to JAVA HOUSE for account GOODS. Till Number 654321 on 02/11/24 at 9:00 AM,Completed,,200.00,4250.00
SH12ABC3XY5,02/11/24 5:00 PM,SH12ABC3XY5 Confirmed. Ksh2000.00 withdrawn from ABC AGENT on 02/11/24 at 5:00 PM,Completed,,2000.00,2250.00
SH12ABC3XY6,03/11/24 6:00 PM,SH12ABC3XY6 Confirmed. Ksh100.00 airtime purchased on 03/11/24 at 6:00 PM,Completed,,100.00,2150.00
SH12ABC3XY7,03/11/24 7:30 PM,SH12ABC3XY7 Confirmed. Ksh1500.00 paid to KPLC. Account Number 789012 on 03/11/24 at 7:30 PM,Completed,,1500.00,650.00
SH12ABC3XY8,04/11/24 11:00 AM,SH12ABC3XY8 Confirmed. You have received Ksh5000.00 from SALARY PAYMENT 254700000000 on 04/11/24 at 11:00 AM,Completed,5000.00,,5650.00
SH12ABC3XY9,04/11/24 2:45 PM,SH12ABC3XY9 Confirmed. Ksh300.00 paid to UBER KENYA. Till Number 111222 on 04/11/24 at 2:45 PM,Completed,,300.00,5350.00
SH12ABC3XY10,05/11/24 8:30 AM,SH12ABC3XY10 Confirmed. Ksh150.00 paid to GOODLIFE PHARMACY. Till Number 333444 on 05/11/24 at 8:30 AM,Completed,,150.00,5200.00

